pais;ano;media de fertilidade
Brazil;2000;2247
Brazil;2005;1942
Brazil;2010;1786
Brazil;2015;1777
Brazil;2020;1653
Brazil;2021;1638
Brazil;2022;1629
Brazil;2023;1619
Luxembourg;2000;1761
Luxembourg;2005;1631
Luxembourg;2010;1622
Luxembourg;2015;1464
Luxembourg;2020;1361
Luxembourg;2021;1382
Luxembourg;2022;1.39
Luxembourg;2023;1396
Philippines;2000;3754
Philippines;2005;3448
Philippines;2010;3315
Philippines;2015;2829
Philippines;2020;2075
Philippines;2021;1.95
Philippines;2022;1929
Philippines;2023;1916
United States;2000;2.03
United States;2005;2.04
United States;2010;1916
United States;2015;1832
United States;2020;1616
United States;2021;1634
United States;2022;1665
United States;2023;1624
World;2000;2754
World;2005;2.63
World;2010;2602
World;2015;2537
World;2020;2322
World;2021;2291
World;2022;2265
World;2023;2251